service,flag,logged_in,serror_rate,srv_serror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_serror_rate,dst_host_srv_serror_rate,class
http,SF,1,0,0,1,2,255,0,0,normal
private,SF,0,0,0,0.88,255,7,0,0,satan
supdup,S0,0,1,1,0.11,255,12,1,1,neptune
private,S0,0,1,1,0.08,255,14,1,1,neptune
http,SF,1,0,0,1,132,255,0.01,0.01,normal
http,SF,1,0,0,1,255,255,0,0,normal
nntp,RSTO,0,0,0,0.03,255,5,0,0,neptune
ftp_data,S0,0,0.93,1,0.27,255,10,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
ftp_data,S0,0,1,1,0.03,255,7,1,1,neptune
eco_i,SF,0,0,0,1,2,255,0,0,ipsweep
http,SF,1,0,0,1,175,175,0,0,back
http,SF,1,0,0,1,1,255,0,0,normal
http,SF,1,0,0,1,4,255,0,0,normal
domain_u,SF,0,0,0,1,255,254,0,0,normal
private,SF,0,0,0,1,89,17,0,0,teardrop
private,SF,0,0.7,0,0.3,255,42,0.09,0,teardrop
private,S0,0,1,1,0.09,255,1,1,1,neptune
uucp,S0,0,1,1,0.03,255,3,1,1,neptune
domain_u,SF,0,0,0,1,255,255,0,0,normal
smtp,SF,1,0,0,1,22,19,0,0,normal
mtp,S0,0,1,1,0.07,255,17,1,1,neptune
login,S0,0,1,1,0.02,255,3,1,1,neptune
private,REJ,0,0,0,0.12,255,20,0,0,neptune
ecr_i,SF,0,0,0,1,255,6,0,0,smurf
vmnet,S0,0,1,1,0.07,255,20,1,1,neptune
private,S0,0,1,1,0.03,255,3,1,1,neptune
netbios_dgm,S0,0,1,1,0.04,255,1,1,1,neptune
private,S0,0,1,1,0.05,255,8,1,1,neptune
domain_u,SF,0,0,0,1,255,240,0,0,normal
courier,S0,0,1,1,0.05,255,6,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
Z39_50,REJ,0,0,0,0.01,255,2,0,0,neptune
login,S0,0,1,1,0.08,255,11,1,1,neptune
uucp_path,S0,0,1,1,0.07,255,18,1,1,neptune
ecr_i,SF,0,0,0,1,255,255,0,0,smurf
ctf,S0,0,1,1,0.03,255,8,1,1,neptune
other,REJ,0,0.07,0,0,255,1,0.08,0,satan
domain_u,SF,0,0,0,0.99,255,238,0,0,normal
finger,RSTO,0,0,0,0.03,255,9,0,0,neptune
http,SF,1,0,0,1,11,255,0,0,normal
iso_tsap,S0,0,1,1,0.06,255,14,1,1,neptune
other,SF,1,0.16,0,0.05,128,1,0.05,0,normal
http,SF,1,0,0.25,1,255,255,0,0,normal
ecr_i,SF,0,0,0,1,255,80,0,0,smurf
http,SF,1,0,0,1,205,255,0,0,normal
domain_u,SF,0,0,0,1,41,52,0,0,normal
http,SF,1,0,0,1,4,255,0,0.01,normal
other,REJ,0,0.18,0,0,255,1,0.25,0,satan
private,S0,0,1,1,0.08,255,12,1,1,neptune
ftp_data,SF,1,0,0,1,58,10,0,0,normal
IRC,RSTR,0,0,0,1,23,6,0,0,normal
private,S0,0,1,1,0.05,255,14,1,1,neptune
http,SF,1,0,0,1,1,255,0,0,normal
http,SF,1,0,0,1,141,255,0.01,0,normal
Z39_50,S0,0,1,1,0.04,255,9,1,1,neptune
klogin,S0,0,1,1,0.14,255,20,1,1,neptune
eco_i,SF,0,0,0,0.5,255,37,0,0,normal
http,SF,1,0,0,1,24,255,0,0,normal
private,SF,0,0,0,1,255,81,0,0,teardrop
http,SF,1,0,0,1,122,73,0,0,normal
imap4,S0,0,1,1,0.05,255,7,1,1,neptune
gopher,S0,0,1,1,0.01,255,2,1,1,neptune
telnet,S0,0,1,1,0.06,255,13,1,1,neptune
http,SF,1,0,0,1,197,255,0,0,normal
courier,S0,0,1,1,0.05,255,6,1,1,neptune
private,S0,0,1,1,0.07,255,7,1,1,neptune
ecr_i,SF,0,0,0,1,255,255,0,0,smurf
http,SF,1,0,0,1,7,255,0,0,normal
http,SF,1,0,0,1,8,252,0,0,normal
private,SF,0,0,0,1,255,92,0,0,normal
ftp_data,SF,0,0,0,1,75,32,0,0,normal
sunrpc,RSTO,0,0,0,0.05,255,7,0,0,neptune
http,SF,1,0,0,1,80,80,0,0,back
http,SF,1,0,0,1,255,255,0,0,normal
courier,S0,0,1,1,0.04,255,5,1,1,neptune
http,REJ,0,0,0,1,4,254,0,0,normal
private,S0,0,1,1,0.26,255,8,1,1,neptune
time,RSTO,0,0,0,0.08,255,18,0,0,neptune
http,SF,1,0,0,1,197,255,0,0,normal
courier,S0,0,1,1,0.04,255,5,1,1,neptune
other,SF,0,0,0,1,255,3,0,0,normal
http,SF,1,0,0,1,2,255,0,0,normal
http,SF,1,0,0,1,99,255,0,0,normal
domain_u,SF,0,0,0,1,255,251,0,0,normal
private,RSTR,0,0,0,1,255,2,0,0,portsweep
private,S0,0,1,1,0.02,255,2,1,1,neptune
http,SF,1,0,0,1,134,255,0,0,normal
ecr_i,SF,0,0,0,1,255,255,0,0,smurf
private,S0,0,1,1,0.04,255,19,1,1,neptune
domain,S0,0,1,1,0.03,255,9,1,1,neptune
smtp,SF,1,0,0,1,27,39,0.04,0,normal
ftp_data,SF,0,0,0,1,8,87,0,0,normal
eco_i,SF,0,0,0,1,31,131,0,0,normal
ftp_data,SF,0,0,0,1,87,46,0,0,normal
http,SF,1,0,0,1,147,255,0,0,normal
http,SF,1,0,0,1,45,255,0,0,normal
smtp,SF,1,0,0,1,178,166,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,50,255,0,0,normal
ldap,S0,0,1,1,0.13,255,4,1,1,neptune
ftp_data,SF,1,0,0,1,169,84,0,0,normal
http,SF,1,0,0,1,12,255,0,0,normal
private,S0,0,1,1,0.05,255,14,1,1,neptune
http,SF,1,0,0,1,64,255,0,0,normal
finger,S0,0,1,1,0.01,255,2,1,1,neptune
http,SF,1,0,0,1,128,255,0,0,normal
http,SF,1,0,0,1,12,255,0,0,normal
eco_i,SF,0,0,0,1,4,112,0,0,nmap
http,SF,1,0,0,1,17,255,0,0,normal
http,REJ,0,0,0,1,2,40,0,0,normal
ftp_data,SF,1,0,0,1,208,138,0,0,normal
private,S0,0,1,1,0.04,255,16,1,1,neptune
ecr_i,SF,0,0,0,1,77,1,0,0,normal
gopher,S0,0,1,1,0.03,255,8,1,1,neptune
gopher,S0,0,1,1,0.04,255,7,1,1,neptune
private,S0,0,1,1,0.1,255,1,1,1,neptune
http,SF,1,0,0,1,71,255,0,0,normal
http,SF,1,0,0,1,40,255,0,0,normal
http,SF,1,0,0,1,255,247,0,0,normal
telnet,S1,0,1,1,1,126,1,0.01,1,normal
whois,REJ,0,0,0,0.05,255,12,0,0,neptune
domain_u,SF,0,0,0,1,255,166,0,0,normal
smtp,SF,1,0,0,1,122,125,0.01,0.01,normal
sunrpc,S0,0,1,1,0.02,255,5,1,1,neptune
private,S0,0,1,1,0.09,255,29,1,1,neptune
vmnet,REJ,0,0,0,0.01,255,3,0,0,neptune
domain_u,SF,0,0,0,1,255,255,0,0,normal
imap4,S0,0,1,1,0.05,255,14,1,1,neptune
private,S0,0,1,1,0.07,255,12,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,197,197,0,0,back
domain_u,SF,0,0,0,1,255,252,0,0,normal
private,SF,0,0,0,0.9,255,27,0,0,satan
http,SF,1,0,0,1,235,235,0,0,back
link,S0,0,1,1,0.08,255,20,1,1,neptune
private,SF,0,0,0,1,255,246,0,0,normal
name,S0,0,1,1,0.22,255,19,1,1,neptune
daytime,S0,0,1,1,0.06,255,2,1,1,neptune
private,S0,0,1,1,0.04,115,4,1,1,neptune
private,S0,0,1,1,0.11,255,20,1,1,neptune
http,SF,1,0,0,1,83,255,0,0,normal
http,SF,1,0,0,1,216,255,0,0,normal
private,REJ,0,0.11,0,0,255,1,0.12,0,satan
http,SF,1,0,0,1,255,255,0.01,0.01,normal
http,SF,1,0,0,1,36,255,0,0,normal
ftp_data,S0,0,1,1,0.33,255,42,1,1,neptune
ftp_data,SF,1,0,0,1,21,49,0.05,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,242,0,0,normal
http,SF,1,0,0,1,90,231,0,0,normal
vmnet,S0,0,1,1,0.04,255,19,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,135,255,0,0,normal
exec,S0,0,1,1,0.03,255,3,1,1,neptune
domain_u,SF,0,0,0,1,255,254,0,0,normal
telnet,S0,0,1,1,0.06,255,14,1,1,neptune
domain_u,SF,0,0,0,1,255,254,0,0,normal
private,S0,0,1,1,0.07,255,2,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
ftp_data,SF,1,0,0,1,2,91,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
telnet,RSTO,0,0,0,1,227,2,0,0,normal
private,RSTR,0,0,0,1,49,1,0.12,0,portsweep
ftp_data,SF,1,0,0,1,255,90,0,0,normal
http,REJ,0,0,0,1,164,136,0,0,normal
http,SF,1,0,0,1,9,255,0,0,normal
private,S0,0,1,1,0.13,255,37,1,1,neptune
telnet,SF,1,0,0,1,13,1,0,0,normal
http,SF,1,0,0,1,32,255,0,0.01,normal
eco_i,SF,0,0,0,1,2,54,0,0,nmap
ftp,SF,1,0,0,1,97,25,0,0,normal
private,REJ,0,0,0,0.09,255,17,0,0,neptune
daytime,S0,0,1,1,0.03,255,8,1,1,neptune
domain_u,SF,0,0,0,1,255,254,0,0,normal
domain_u,SF,0,0,0,1,255,237,0,0,normal
http,SF,1,0,0,1,40,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
finger,S0,0,0.95,1,0.48,255,20,1,1,neptune
bgp,REJ,0,0,0,0.02,255,5,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0.22,0.22,1,255,255,0,0,normal
http,SF,1,0,0,1,255,246,0,0,normal
private,S0,0,1,1,0.11,255,10,1,1,neptune
http,SF,1,0,0,1,158,255,0,0,normal
domain_u,SF,0,0,0,1,255,254,0,0,normal
private,REJ,0,0,0,0.07,255,8,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
smtp,SF,1,0,0,1,78,240,0,0,normal
private,S0,0,1,1,0.01,255,18,1,1,neptune
private,S0,0,1,1,0.1,153,10,1,1,neptune
http,SF,1,0,0,1,108,255,0,0,normal
nnsp,S0,0,1,1,0.12,255,17,1,1,neptune
iso_tsap,REJ,0,0,0,0.01,255,3,0,0,neptune
private,S0,0,1,1,0.06,255,4,1,1,neptune
http,SF,1,0,0,1,255,237,0,0,normal
private,S0,0,1,1,0.16,255,15,1,1,neptune
private,S0,0,1,1,0.04,255,9,1,1,neptune
bgp,S0,0,1,1,0.03,255,4,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
smtp,SF,1,0,0,1,255,152,0,0,normal
http,SF,1,0,0,1,255,242,0,0,normal
eco_i,SF,0,0,0,1,1,255,0,0,ipsweep
imap4,S0,0,1,1,0.02,255,11,1,1,neptune
courier,S0,0,1,1,0.04,255,6,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,106,255,0,0,normal
nnsp,S0,0,1,1,0.02,255,7,1,1,neptune
smtp,SF,1,0,0,1,142,246,0,0,normal
private,S0,0,1,1,0.06,255,15,1,1,neptune
eco_i,SF,0,0,0,1,1,33,0,0,ipsweep
telnet,S0,0,1,1,0.01,255,19,1,1,neptune
private,S0,0,1,1,0.08,200,20,0.99,1,neptune
supdup,S0,0,1,1,0.08,255,14,1,1,neptune
http,SF,1,0,0,1,57,255,0,0,normal
eco_i,SF,0,0,0,1,1,137,0,0,ipsweep
private,S0,0,1,1,0.04,95,6,1,1,neptune
private,REJ,0,0,0,0.08,255,19,0,0,neptune
http,S0,0,0.5,0.5,1,7,255,0.14,0,normal
domain_u,SF,0,0,0,1,255,253,0,0,normal
http,SF,1,0,0,1,67,255,0,0,normal
http,SF,1,0,0,1,14,255,0.07,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
private,SF,0,0,0,0.25,255,234,0,0,normal
eco_i,SF,0,0,0,1,3,51,0,0,ipsweep
http,SF,1,0,0,1,85,255,0,0,normal
http,SF,1,0,0,1,255,219,0,0,normal
smtp,SF,1,0,0,1,203,146,0,0,normal
private,S0,0,1,1,0.09,255,10,1,1,neptune
http,S0,0,1,1,0.01,255,18,1,1,neptune
private,S0,0,1,1,0.11,255,4,1,1,neptune
http,SF,1,0,0,1,3,255,0,0,normal
smtp,S0,0,1,1,0,255,1,1,1,neptune
smtp,SF,1,0,0,1,255,98,0,0,normal
smtp,SF,1,0,0,1,31,197,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
private,REJ,0,0.09,0,0,255,1,0.07,0,satan
private,S0,0,1,1,0.3,255,13,1,1,neptune
http,SF,1,0,0,1,10,255,0,0,normal
http,SF,1,0.33,0.17,1,149,149,0.01,0.01,normal
private,REJ,0,0,0,1,27,1,0,0,ipsweep
private,RSTOS0,0,0.64,0.5,0.01,255,2,0.53,0.5,portsweep
http,SF,1,0,0,1,251,255,0,0,normal
http,SF,1,0,0,1,255,255,0.01,0.01,normal
http,SF,1,0,0,1,44,255,0,0,normal
http,SF,1,0,0,1,6,255,0,0,normal
domain_u,SF,0,0,0,1,238,21,0.01,0,normal
finger,S0,0,1,1,0.03,255,16,1,1,neptune
http,SF,1,0,0,1,4,255,0.25,0,normal
http,REJ,0,0,0,1,61,210,0,0,normal
eco_i,SF,0,0,0,1,1,53,0,0,ipsweep
private,S0,0,1,1,0.05,255,5,1,1,neptune
http,SF,1,0,0,1,176,255,0,0,normal
http,SF,1,0,0,1,152,255,0.01,0.01,normal
private,S0,0,1,1,0.05,38,9,0.63,1,neptune
imap4,S0,0,1,1,0.11,255,24,1,1,neptune
iso_tsap,RSTR,0,0,0,1,255,1,0,0,portsweep
domain_u,SF,0,0,0,1,255,253,0,0,normal
http,SF,1,0,0,1,255,240,0,0,normal
ftp_data,SF,1,0,0,1,10,97,0,0,normal
http,SF,1,0,0,1,122,255,0,0,normal
other,SF,0,0,0,1,255,2,0,0,normal
ftp_data,SF,0,0,0,1,239,55,0,0,normal
private,S0,0,1,1,0.05,255,7,1,1,neptune
http,REJ,0,0,0,1,14,219,0,0,normal
http,S1,1,0.25,0.25,1,255,255,0,0,normal
http,SF,1,0,0,1,34,255,0,0,normal
courier,S0,0,1,1,0.04,255,4,1,1,neptune
gopher,S0,0,1,1,0.07,255,20,1,1,neptune
echo,RSTO,0,0,0,0.05,255,13,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
red_i,SF,0,0,0,1,132,7,0,0,normal
http,SF,1,0,0,1,190,255,0,0,normal
private,SF,0,0,0,1,245,42,0.02,0,teardrop
http,SF,1,0,0,1,38,255,0,0,normal
http,SF,1,0,0,1,79,255,0,0,normal
http,SF,1,0,0,1,4,255,0,0,normal
domain_u,SF,0,0,0,1,148,109,0,0,normal
iso_tsap,S0,0,1,1,0.07,255,8,1,1,neptune
uucp_path,S0,0,1,1,0.04,255,11,1,1,neptune
hostnames,S0,0,1,1,0.08,255,20,1,1,neptune
telnet,SF,0,0,0,1,28,1,0,0,normal
ftp_data,SF,0,0,0,1,10,28,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
eco_i,SF,0,0,0,1,2,255,0,0,ipsweep
private,REJ,0,0,0,0.09,255,7,0,0,neptune
smtp,SF,1,0,0,1,142,127,0,0,normal
smtp,SF,1,0,0,1,114,172,0,0,normal
http,REJ,0,0,0,1,1,136,0,0,normal
other,SF,1,0,0,0.5,177,1,0.02,0,normal
telnet,SF,1,0,0,1,90,4,0,0,normal
smtp,SF,1,0,0,1,187,158,0,0,normal
private,SF,0,0,0,1,155,131,0,0,nmap
http,SF,1,0,0,1,164,255,0,0,normal
domain,SF,1,0,0,0.02,255,1,0,0,normal
ftp_data,REJ,0,0,0,0.07,255,16,0,0,neptune
ftp_data,SF,0,0,0,1,244,67,0,0,normal
http,SF,1,0,0,1,23,255,0,0,normal
smtp,SF,1,0,0,1,255,5,0.98,0,normal
smtp,SF,1,0,0,1,115,207,0,0,normal
domain_u,SF,0,0,0,1,255,250,0,0,normal
http,SF,1,0,0,1,22,255,0,0,normal
ecr_i,SF,0,0,0,1,128,34,0.02,0,smurf
smtp,SF,1,0,0,1,190,176,0,0,normal
private,S0,0,1,1,0.04,255,11,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,REJ,0,0,0,1,50,251,0,0,normal
sql_net,S0,0,1,1,0.11,255,12,1,1,neptune
ftp,SF,1,0,0,1,224,52,0,0,warezclient
private,SF,0,0,0,0.21,255,4,0.16,0,satan
http,REJ,0,0,0,1,2,247,0,0,normal
finger,S0,0,1,1,0.07,255,18,1,1,neptune
http,SF,1,0,0,1,5,255,0,0.01,normal
supdup,S0,0,1,1,0.02,255,2,1,1,neptune
smtp,SF,1,0,0,1,255,2,0,0,normal
http,S0,0,1,1,0.63,255,58,1,1,neptune
IRC,RSTR,1,0,0,1,4,3,0.25,0.33,normal
ssh,S0,0,1,1,0.43,255,3,1,1,neptune
time,S0,0,1,1,0.03,255,8,1,1,neptune
http,SF,1,0,0,1,12,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
finger,SF,0,0,0,0.5,106,5,0.02,0.2,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
ftp_data,SF,1,0,0,1,255,21,0,0,normal
private,SF,0,0.86,0,0.14,255,16,0.09,0,teardrop
auth,SF,1,0,0,1,1,12,0,0,normal
domain_u,SF,0,0,0,1,80,60,0,0,normal
http,SF,1,0,0,1,91,255,0,0,normal
login,S0,0,1,1,0.14,255,2,1,1,neptune
Z39_50,S0,0,1,1,0.06,255,16,1,1,neptune
netbios_ns,SH,0,1,1,1,255,1,1,1,nmap
private,REJ,0,0.03,0,0,255,1,0.04,0,satan
http,SF,1,0,0,1,158,255,0.01,0,normal
http,SF,1,0,0,1,115,255,0,0,normal
ftp_data,SF,1,0,0,1,1,20,0,0,warezclient
daytime,S0,0,1,1,0.03,255,10,1,1,neptune
http,SF,1,0,0,1,8,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
imap4,S0,0,1,1,0.04,255,11,1,1,neptune
http,S0,0,1,1,1,6,4,0.67,1,neptune
login,S0,0,1,1,0.08,255,6,1,1,neptune
http,SF,1,0,0,1,145,181,0,0,normal
private,SF,0,0,0,0.17,255,244,0,0,normal
finger,SF,0,0,0,1,192,4,0,0,normal
smtp,SF,1,0,0,1,24,159,0,0,normal
http,REJ,0,0,0,0.06,255,19,0,0,neptune
finger,SF,0,0,0,1,59,4,0,0,normal
http,REJ,0,0,0,1,5,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
smtp,RSTO,0,0,0,1,128,127,0,0,normal
auth,SF,0,0,0,1,230,12,0,0,normal
http,SF,1,0,0,1,252,255,0,0,normal
link,S0,0,1,1,0.03,255,14,1,1,neptune
sunrpc,S0,0,1,1,0.09,255,20,1,1,neptune
private,S0,0,1,1,0.06,255,17,1,1,neptune
smtp,SF,1,0,0,1,62,176,0,0,normal
http,SF,1,0,0,1,255,227,0,0,normal
private,S0,0,1,1,0.03,255,4,1,1,neptune
http,S0,0,1,0.8,0.57,167,44,1,1,neptune
http,SF,1,0,0,1,250,255,0,0,normal
private,SF,0,0,0,1,252,49,0.02,0,teardrop
private,S0,0,1,1,0.01,255,20,1,1,neptune
private,S0,0,1,1,0.09,255,6,1,1,neptune
smtp,SF,1,0,0,1,225,162,0,0,normal
ftp_data,SF,0,0,0,1,255,49,0,0,normal
http,SF,1,0,0,1,25,255,0,0.01,normal
http,SF,1,0,0,1,255,255,0,0,normal
eco_i,SF,0,0,0,1,4,24,0,0,nmap
http,SF,1,0,0,1,180,180,0,0,back
private,S0,0,1,1,0.04,255,9,1,1,neptune
other,SF,0,0,0,1,255,255,0,0,normal
discard,S0,0,1,1,0.09,255,25,1,1,neptune
ctf,S0,0,1,1,0.03,255,6,1,1,neptune
private,S0,0,1,1,0.22,255,6,1,1,neptune
private,S0,0,1,1,0.02,255,4,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,REJ,0,0,0,1,28,255,0,0,normal
private,S0,0,1,1,0.16,255,25,1,1,neptune
other,SF,0,0,0,0.33,255,1,0,0,normal
private,REJ,0,0.01,0,0.01,255,1,0,0,satan
eco_i,SF,0,0,0,1,1,41,0,0,ipsweep
ldap,S0,0,1,1,0.02,255,20,1,1,neptune
ftp,SF,0,0,0,1,145,38,0.02,0.08,normal
http,SF,1,0,0,1,29,255,0,0,normal
http,SF,1,0,0,1,160,255,0.01,0,normal
private,RSTR,0,0,0,1,255,2,0,0,portsweep
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,120,255,0,0,normal
private,REJ,0,0.06,0,0,255,1,0.05,0,satan
domain_u,SF,0,0,0,1,255,225,0,0,normal
other,REJ,0,0.2,0,0,255,1,0.16,0,satan
finger,SF,0,0,0,1,60,9,0,0,ipsweep
Z39_50,S0,0,1,1,0.13,255,15,1,1,neptune
http,SF,1,0,0,1,8,255,0,0,normal
smtp,SF,1,0,0,1,255,109,0,0,normal
http,SF,1,0,0,1,9,255,0,0,normal
smtp,SF,1,0,0,1,255,173,0,0,normal
other,SF,0,0,0,0.5,255,2,0,0,normal
eco_i,SF,0,0,0,1,2,10,0,0,nmap
private,SF,0,0,0,1,234,224,0,0,normal
private,REJ,0,0,0,0.16,255,18,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
iso_tsap,S0,0,1,1,0.07,255,18,1,1,neptune
echo,RSTR,0,0,0,1,133,1,0,0,portsweep
private,S0,0,1,1,0.09,255,19,1,1,neptune
eco_i,SF,0,0,0,1,2,24,0,0,ipsweep
smtp,SF,1,0,0,1,255,124,0.01,0.02,normal
courier,S0,0,1,1,0.05,255,15,1,1,neptune
private,S0,0,1,1,0.01,255,1,1,1,neptune
ftp_data,SF,1,0,0,1,200,87,0,0.01,normal
other,SF,0,0,0,0.5,255,2,0,0,normal
finger,SF,0,0,0,0.33,255,2,0,0,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
telnet,S0,0,1,1,0.06,255,14,1,1,neptune
eco_i,SF,0,0,0,1,3,215,0,0,nmap
eco_i,SF,0,0,0,1,1,39,0,0,ipsweep
http,SF,1,0,0,1,162,255,0,0,normal
smtp,SF,1,0,0,1,11,239,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,REJ,0,0,0,1,10,255,0,0,normal
ftp_data,SF,1,0,0,1,3,9,0,0,warezclient
ctf,S0,0,1,1,0.04,255,5,1,1,neptune
http,SF,1,0,0,1,38,255,0,0,normal
uucp,RSTO,0,0,0,0.11,255,13,0,0,neptune
klogin,S0,0,1,1,0.01,255,1,1,1,neptune
http,SF,1,0,0,1,135,255,0,0,normal
ftp,SF,1,0,0,1,2,1,0,0,normal
nnsp,S0,0,1,1,0.09,255,13,1,1,neptune
http,SF,1,0,0,1,42,255,0,0,normal
http,SF,1,0,0,1,93,255,0,0,normal
http,SF,1,0,0,1,34,218,0.03,0.01,normal
ecr_i,SF,0,0,0,1,255,127,0,0,smurf
private,S0,0,1,1,0.02,255,18,1,1,neptune
private,S0,0,1,1,0.13,255,12,1,1,neptune
private,S0,0,1,1,0.01,255,4,1,1,neptune
smtp,SF,1,0,0,1,167,240,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
finger,S0,0,1,1,0.27,255,62,1,1,neptune
http,SF,1,0,0,1,255,255,0.01,0.01,normal
http,SF,1,0,0,1,255,255,0,0,normal
domain_u,SF,0,0,0,1,255,208,0,0,normal
http,S0,0,1,1,0.02,255,5,1,1,neptune
private,S0,0,1,1,0.04,255,3,1,1,neptune
domain,S0,0,1,1,0.03,255,8,1,1,neptune
http,SF,1,0,0,1,60,255,0,0,normal
smtp,S3,1,1,1,1,132,145,0.02,0.01,normal
domain_u,SF,0,0,0,1,59,4,0,0,normal
smtp,SF,1,0,0,1,71,129,0,0.09,normal
private,S0,0,1,1,0,255,1,1,1,neptune
uucp_path,S0,0,1,1,0.06,255,18,1,1,neptune
eco_i,SF,0,0,0,1,2,32,0,0,ipsweep
time,RSTO,0,0,0,0.09,255,17,0,0,neptune
eco_i,SF,0,0,0,1,1,9,0,0,ipsweep
name,S0,0,1,1,0.03,255,5,1,1,neptune
ftp_data,SF,1,0,0,1,120,34,0,0,normal
smtp,S0,0,1,0.67,0.04,250,6,1,0.33,neptune
Z39_50,REJ,0,0,0,0.03,255,8,0,0,neptune
other,SF,0,0,0,1,255,1,0,0,normal
http,REJ,0,0,0,1,21,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
telnet,S0,0,1,1,0.03,255,8,1,1,neptune
nnsp,REJ,0,0,0,0.06,255,4,0,0,neptune
http,SF,1,0,0,1,138,255,0.01,0.01,normal
http,SF,1,0,0,1,63,255,0,0,normal
private,S0,0,1,1,0.04,255,8,1,1,neptune
private,S0,0,1,1,0.01,255,18,1,1,neptune
ecr_i,SF,0,0,0,1,49,49,0,0,smurf
ftp_data,SF,1,0,0,1,26,38,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
ftp_data,SF,1,0,0,1,255,84,0,0,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
http,REJ,0,0,0,1,11,243,0,0,normal
ftp,SF,1,0,0,0.5,246,44,0,0,normal
ecr_i,SF,0,0,0,1,255,212,0,0,smurf
eco_i,SF,0,0,0,1,2,129,0,0,ipsweep
private,S0,0,1,1,0.03,255,9,1,1,neptune
private,REJ,0,0,0,1,50,1,0,0,ipsweep
private,SF,0,0,0,0.75,255,9,0.17,0,satan
eco_i,SF,0,0,0,1,3,239,0,0,ipsweep
ftp_data,SF,1,0,0,1,152,62,0,0,normal
private,S0,0,1,1,0.18,255,17,1,1,neptune
http,REJ,0,0,0,1,95,255,0,0,normal
private,REJ,0,0,0,0.08,255,8,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
ftp,S0,0,1,1,0.01,255,2,1,1,neptune
http,SF,1,0,0,1,73,255,0,0,normal
domain_u,SF,0,0,0,1,255,234,0,0,normal
http,REJ,0,0,0,1,24,171,0,0,normal
smtp,SF,1,0,0,1,65,35,0,0,normal
courier,S0,0,1,1,0.03,255,4,1,1,neptune
whois,S0,0,1,1,0.02,255,6,1,1,neptune
auth,REJ,0,0,0,0.08,255,18,0,0,neptune
http,SF,1,0,0,1,8,162,0,0,normal
http,SF,1,0,0,1,9,203,0,0,normal
http,SF,1,0,0,1,63,255,0,0,normal
http,SF,1,0,0,1,56,255,0,0,normal
telnet,S0,0,1,1,1,49,29,0.96,0.93,neptune
smtp,SF,1,0,0,1,157,101,0.01,0,normal
http,SF,1,0,0,1,27,255,0,0,normal
http,SF,1,0,0,1,130,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
ftp,SF,0,0,0,1,148,26,0,0,normal
smtp,SF,1,0,0,1,99,147,0,0,normal
ftp,SF,1,0,0,1,255,22,0.13,0,warezclient
http,SF,1,0,0,1,30,255,0,0,normal
http,SF,1,0,0,1,23,255,0,0,normal
csnet_ns,REJ,0,0,0,0.03,255,9,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
other,SF,0,0,0,1,195,195,0,0,normal
private,S0,0,1,1,0.12,255,7,1,1,neptune
http,SF,1,0,0,1,145,255,0,0.01,normal
private,RSTR,0,0,0,1,255,2,0,0,portsweep
http,SF,1,0,0,1,7,255,0,0,normal
